From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg27.103	Q5XGE0	swissprot	ogfod3		iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
evm.utg27.104	O75691	swissprot	UTP20 DRIM	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA [GO:0030490]; negative regulation of cell population proliferation [GO:0008285]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	protein binding [GO:0005515]
evm.utg27.105	Q64077	swissprot	TACR2	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating tachykinin receptor signaling pathway [GO:0007209]; positive regulation of flagellated sperm motility [GO:1902093]; regulation of uterine smooth muscle contraction [GO:0070472]	G protein-coupled receptor activity [GO:0004930]; substance K receptor activity [GO:0016497]; tachykinin receptor activity [GO:0004995]
evm.utg27.107	Q59E83	swissprot	npr-22 Y59H11AL.1	determination of adult lifespan [GO:0008340]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of feeding behavior [GO:2000252]; negative regulation of locomotion [GO:0040013]; neuropeptide signaling pathway [GO:0007218]; positive regulation of egg-laying behavior [GO:1901046]	G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]
evm.utg27.108	Q9EQD2	swissprot	Npffr2 Gpr74 Npff2 Npgpr	cellular response to hormone stimulus [GO:0032870]; G protein-coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; regulation of MAPK cascade [GO:0043408]	G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]; opioid receptor binding [GO:0031628]
evm.utg27.109	Q924H0	swissprot	Npffr2 Gpr74 Npff2	cellular response to hormone stimulus [GO:0032870]; G protein-coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; regulation of MAPK cascade [GO:0043408]	G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]; opioid receptor binding [GO:0031628]
evm.utg27.110	P79218	swissprot	TACR2 TAC2R	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating tachykinin receptor signaling pathway [GO:0007209]; positive regulation of flagellated sperm motility [GO:1902093]; regulation of uterine smooth muscle contraction [GO:0070472]	G protein-coupled receptor activity [GO:0004930]; substance K receptor activity [GO:0016497]; tachykinin receptor activity [GO:0004995]
evm.utg27.111	O43614	swissprot	HCRTR2 ORXR2 OX2R OXR2	cellular response to hormone stimulus [GO:0032870]; chemical synaptic transmission [GO:0007268]; circadian sleep/wake cycle process [GO:0022410]; feeding behavior [GO:0007631]; glucose homeostasis [GO:0042593]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion [GO:0040011]; neuropeptide signaling pathway [GO:0007218]; regulation of circadian sleep/wake cycle, wakefulness [GO:0010840]; regulation of cytosolic calcium ion concentration [GO:0051480]	G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]; orexin receptor activity [GO:0016499]; peptide hormone binding [GO:0017046]; protein binding [GO:0005515]
evm.utg27.112	Q9CZP0	swissprot	Ufsp1 D5Ertd655e	protein ufmylation [GO:0071569]	cysteine-type peptidase activity [GO:0008234]; deUFMylase activity [GO:0071567]
evm.utg27.112.1.5c2792c1	Q9CZP0	swissprot	Ufsp1 D5Ertd655e	protein ufmylation [GO:0071569]	cysteine-type peptidase activity [GO:0008234]; deUFMylase activity [GO:0071567]
evm.utg27.113	A0A6P8J403	trembl	LOC116308476	protein deubiquitination [GO:0016579]	cysteine-type deubiquitinase activity [GO:0004843]
evm.utg27.114	K7Z9Q9	swissprot		proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg27.119	Q0VC81	swissprot	ADORA3	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; G protein-coupled adenosine receptor signaling pathway [GO:0001973]; G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled adenosine receptor activity [GO:0001609]; G protein-coupled receptor activity [GO:0004930]
evm.utg27.120	A0ABN8SC85	trembl	PEVE_00019314	G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor activity [GO:0004930]
evm.utg27.123	P30531	swissprot	SLC6A1 GABATR GABT1 GAT1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chemical synaptic transmission [GO:0007268]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid reuptake [GO:0051936]; inorganic anion import across plasma membrane [GO:0098658]; memory [GO:0007613]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]; transport across blood-brain barrier [GO:0150104]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]; transmembrane transporter activity [GO:0022857]
evm.utg27.124	P30531	swissprot	SLC6A1 GABATR GABT1 GAT1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chemical synaptic transmission [GO:0007268]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid reuptake [GO:0051936]; inorganic anion import across plasma membrane [GO:0098658]; memory [GO:0007613]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]; transport across blood-brain barrier [GO:0150104]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]; transmembrane transporter activity [GO:0022857]
evm.utg27.125	P30531	swissprot	SLC6A1 GABATR GABT1 GAT1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chemical synaptic transmission [GO:0007268]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; gamma-aminobutyric acid reuptake [GO:0051936]; inorganic anion import across plasma membrane [GO:0098658]; memory [GO:0007613]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]; transport across blood-brain barrier [GO:0150104]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]; transmembrane transporter activity [GO:0022857]
evm.utg27.126	P23978	swissprot	Slc6a1 Gabt1 Gat-1 Gat1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; inorganic anion import across plasma membrane [GO:0098658]; learning [GO:0007612]; memory [GO:0007613]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; response to calcium ion [GO:0051592]; response to cocaine [GO:0042220]; response to estradiol [GO:0032355]; response to lead ion [GO:0010288]; response to methamphetamine hydrochloride [GO:1904313]; response to purine-containing compound [GO:0014074]; response to sucrose [GO:0009744]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; identical protein binding [GO:0042802]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]
evm.utg27.127	P23978	swissprot	Slc6a1 Gabt1 Gat-1 Gat1	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; associative learning [GO:0008306]; chloride transmembrane transport [GO:1902476]; gamma-aminobutyric acid import [GO:0051939]; inorganic anion import across plasma membrane [GO:0098658]; learning [GO:0007612]; memory [GO:0007613]; negative regulation of synaptic transmission, GABAergic [GO:0032229]; neurotransmitter reuptake [GO:0098810]; neurotransmitter transport [GO:0006836]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; response to calcium ion [GO:0051592]; response to cocaine [GO:0042220]; response to estradiol [GO:0032355]; response to lead ion [GO:0010288]; response to methamphetamine hydrochloride [GO:1904313]; response to purine-containing compound [GO:0014074]; response to sucrose [GO:0009744]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]	amino acid:sodium symporter activity [GO:0005283]; gamma-aminobutyric acid:sodium:chloride symporter activity [GO:0005332]; gamma-aminobutyric acid transmembrane transporter activity [GO:0015185]; identical protein binding [GO:0042802]; protein binding [GO:0005515]; sodium:chloride symporter activity [GO:0015378]
evm.utg27.129	Q6DIR8	swissprot	pald1 pald TGas002h03.1		protein tyrosine phosphatase activity [GO:0004725]
evm.utg27.131	A0A6P8J565	trembl	LOC116308510	epigenetic regulation of gene expression [GO:0040029]; nucleosome assembly [GO:0006334]; regulation of transcription by RNA polymerase II [GO:0006357]	chromatin binding [GO:0003682]; histone acetyltransferase activity [GO:0004402]; histone H3 acetyltransferase activity [GO:0010484]; protein-lysine-acetyltransferase activity [GO:0061733]; transcription coregulator activity [GO:0003712]; zinc ion binding [GO:0008270]
evm.utg27.132	A0A6P8J545	trembl	LOC116308495	cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]	
evm.utg27.132.1.5c22ee0c	A0A6P8J545	trembl	LOC116308495	cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]	
evm.utg27.133	O60906	swissprot	SMPD2	ceramide biosynthetic process [GO:0046513]; ceramide metabolic process [GO:0006672]; intracellular signal transduction [GO:0035556]; response to mechanical stimulus [GO:0009612]; sphingolipid catabolic process [GO:0030149]; sphingolipid metabolic process [GO:0006665]; sphingomyelin catabolic process [GO:0006685]; sphingomyelin metabolic process [GO:0006684]	phosphoric diester hydrolase activity [GO:0008081]; protein binding [GO:0005515]; sphingomyelin phosphodiesterase activity [GO:0004767]
evm.utg27.134	Q9DAS9	swissprot	Gng12	G protein-coupled receptor signaling pathway [GO:0007186]	G-protein beta-subunit binding [GO:0031681]; PDZ domain binding [GO:0030165]; phosphate ion binding [GO:0042301]
evm.utg27.135	P17153	swissprot	ANXA5 ANX5	calcium ion homeostasis [GO:0055074]; calcium ion transmembrane transport [GO:0070588]; negative regulation of coagulation [GO:0050819]	calcium channel activity [GO:0005262]; calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; phosphatidylserine binding [GO:0001786]; protein binding [GO:0005515]
evm.utg27.137	P11611	swissprot	PPP2CB		protein serine/threonine phosphatase activity [GO:0004722]
evm.utg27.138	P02699	swissprot	RHO	absorption of visible light [GO:0016038]; cellular response to light stimulus [GO:0071482]; G protein-coupled opsin signaling pathway [GO:0016056]; G protein-coupled receptor signaling pathway [GO:0007186]; phototransduction [GO:0007602]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]; transducin-mediated opsin signaling pathway [GO:0141190]; visual perception [GO:0007601]	11-cis retinal binding [GO:0005502]; arrestin family protein binding [GO:1990763]; G-protein alpha-subunit binding [GO:0001965]; G protein-coupled photoreceptor activity [GO:0008020]; G protein-coupled receptor activity [GO:0004930]; guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]; opsin binding [GO:0002046]; protein binding [GO:0005515]; zinc ion binding [GO:0008270]
evm.utg27.139	A7S580	trembl	NEMVEDRAFT_v1g207000	cytoskeleton-dependent intracellular transport [GO:0030705]; microtubule cytoskeleton organization [GO:0000226]; regulation of microtubule cytoskeleton organization [GO:0070507]	calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]
evm.utg27.149	K8FE10	swissprot	snt-2 F42G9.7	calcium-dependent activation of synaptic vesicle fusion [GO:0099502]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of synaptic vesicle exocytosis [GO:2000300]	calcium-dependent phospholipid binding [GO:0005544]; calcium ion sensor activity [GO:0061891]; SNARE binding [GO:0000149]
evm.utg29.3	A0ABN8RC69	trembl	PLOB_00018478	double-strand break repair via homologous recombination [GO:0000724]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]
evm.utg29.4	A0AAD9QW15	trembl	P5673_006463		zinc ion binding [GO:0008270]
utg29.equina_smart_1847890.mrna2	A0AAD9PZJ5	trembl	P5673_026991	DNA integration [GO:0015074]	nucleic acid binding [GO:0003676]
evm.utg29.7	A7T4A5	trembl	NEMVEDRAFT_v1g145363	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg29.9	A2BHJ4	swissprot	cnot6l si:dkey-58f10.2 zgc:111987	nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]	3'-5'-RNA exonuclease activity [GO:0000175]; poly(A)-specific ribonuclease activity [GO:0004535]
evm.utg29.9.1.5c22ee5f	Q9ULM6	swissprot	CNOT6 CCR4 CCR4a KIAA1194	miRNA-mediated gene silencing by mRNA destabilization [GO:0035279]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; positive regulation of DNA-templated transcription [GO:0045893]	3'-5'-RNA exonuclease activity [GO:0000175]; poly(A)-specific ribonuclease activity [GO:0004535]; protein binding [GO:0005515]; RNA exonuclease activity [GO:0004532]; transcription coactivator activity [GO:0003713]
evm.utg29.12	A0A6S7GCW8	trembl	PACLA_8A015434		nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
evm.utg29.14.18	A0A6P8HJK4	trembl	LOC116292812		acetylgalactosaminyltransferase activity [GO:0008376]
evm.utg29.19	A7SPN5	trembl	NEMVEDRAFT_v1g126228		oligosaccharide binding [GO:0070492]
evm.utg29.22	Q4R5L5	swissprot	ANXA7 QccE-14346		calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; phosphatidylserine binding [GO:0001786]
evm.utg29.23	Q8N945	swissprot	PRELID2	phospholipid transport [GO:0015914]	phosphatidic acid transfer activity [GO:1990050]
evm.utg29.24	Q2HJF7	swissprot	CAMK2D	positive regulation of cardiac muscle hypertrophy [GO:0010613]; regulation of cellular localization [GO:0060341]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of protein localization to plasma membrane [GO:1903076]	ATP binding [GO:0005524]; calcium/calmodulin-dependent protein kinase activity [GO:0004683]; calmodulin binding [GO:0005516]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]
evm.utg31.3	A0A913YU31	trembl			ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
evm.utg31.8	A0ABN8RC69	trembl	PLOB_00018478	double-strand break repair via homologous recombination [GO:0000724]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]
evm.utg31.11	A0AAD9QW15	trembl	P5673_006463		zinc ion binding [GO:0008270]
evm.utg31.12	A0A6S7HII6	trembl	PACLA_8A065802		sequence-specific double-stranded DNA binding [GO:1990837]
evm.utg31.13	A0A6S7INA1	trembl	PACLA_8A085267	DNA biosynthetic process [GO:0071897]	DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]
evm.utg31.14	A0A6P8H9W2	trembl	LOC116286833		nucleic acid binding [GO:0003676]; nucleotide binding [GO:0000166]
evm.utg31.18	A0A7M5UNQ5	trembl		DNA integration [GO:0015074]	
evm.utg31.27	A0A6P8HEU7	trembl	LOC116288485		ubiquitin-protein transferase activity [GO:0004842]
evm.utg31.29	A0A6P8HI62	trembl	LOC116291585	DNA integration [GO:0015074]	
evm.utg31.34	A0A6P8HQ43	trembl	LOC116291732		sequence-specific DNA binding [GO:0043565]
evm.utg31.37	A0AAU9Y2P5	trembl	PMEA_00004400	DNA integration [GO:0015074]	
evm.utg31.40	A0A6S7K202	trembl	PACLA_8A030235		nucleic acid binding [GO:0003676]
evm.utg31.49	A0A913WZY7	trembl			zinc ion binding [GO:0008270]
evm.utg31.57	A0AAD9QW15	trembl	P5673_006463		zinc ion binding [GO:0008270]
evm.utg31.58	A0AAD9VAG5	trembl	P5673_009069	double-strand break repair via homologous recombination [GO:0000724]	3'-5' DNA helicase activity [GO:0043138]; four-way junction helicase activity [GO:0009378]
evm.utg31.66	A0A6S7HK62	trembl	PACLA_8A034107		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
evm.utg31.67	A0ABN8R1U0	trembl	PEVE_00007831	DNA integration [GO:0015074]	nucleic acid binding [GO:0003676]
evm.utg31.68	A0ABN8QP44	trembl	PEVE_00005558		ubiquitin-protein transferase activity [GO:0004842]
evm.utg31.69	A0ABN8MWQ1	trembl	PLOB_00016000		ubiquitin binding [GO:0043130]
evm.utg31.76	A0AAD9UWX1	trembl	P5673_025663		nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
evm.utg31.88	A0AAD9QMJ0	trembl	P5673_012295	DNA integration [GO:0015074]	
evm.utg31.89	A0AAD9QCF0	trembl	P5673_018815	DNA integration [GO:0015074]	
evm.utg31.94	A0A6S7FQW5	trembl	PACLA_8A023570	DNA integration [GO:0015074]	
evm.utg34.1	A0AAD9UWX1	trembl	P5673_025663		nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
evm.utg34.3	Q80V86	swissprot	Ints8	protein localization to chromatin [GO:0071168]; regulation of transcription elongation by RNA polymerase II [GO:0034243]; RNA polymerase II transcription initiation surveillance [GO:0160240]; snRNA 3'-end processing [GO:0034472]; snRNA processing [GO:0016180]	
evm.utg34.7	A0A6P8IT10	trembl	LOC116304697	chemical synaptic transmission [GO:0007268]; cilium assembly [GO:0060271]	
evm.utg34.8	A0ABN8PV47	trembl	PLOB_00048582	DNA integration [GO:0015074]; mRNA transcription [GO:0009299]	
evm.utg34.9	A0A6S7LRL2	trembl	PACLA_8A031884	negative regulation of canonical Wnt signaling pathway [GO:0090090]	co-receptor binding [GO:0039706]; receptor antagonist activity [GO:0048019]
evm.utg34.10	A0A6P8ITJ8	trembl	LOC116304695		extracellular matrix structural constituent [GO:0005201]; oligosaccharide binding [GO:0070492]
evm.utg34.11	A0A6P8ITJ8	trembl	LOC116304695		extracellular matrix structural constituent [GO:0005201]; oligosaccharide binding [GO:0070492]
evm.utg34.13.1.5c22ef50	A0A6P8ISZ4	trembl	LOC116304685	necroptotic signaling pathway [GO:0097527]	ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; protein kinase activity [GO:0004672]
evm.utg34.13	A0A6P8ISZ4	trembl	LOC116304685	necroptotic signaling pathway [GO:0097527]	ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; protein kinase activity [GO:0004672]
evm.utg34.14	A0ABN8RQX3	trembl	PLOB_00025833	necroptotic signaling pathway [GO:0097527]	ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; protein kinase activity [GO:0004672]
evm.utg34.15.1.5c22ef50	A0A6P8GYR1	trembl	LOC116286907	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039]; protein ubiquitination [GO:0016567]	ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg34.15	A0A913XPY4	trembl		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039]	ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
evm.utg34.15.1.5c22ef50.1.5c2793c9	A0A913XNV7	trembl		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein linear polyubiquitination [GO:0097039]	ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
evm.utg34.16	Q96GQ7	swissprot	DDX27 cPERP-F RHLP HSPC259 PP3241	rRNA processing [GO:0006364]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; nucleic acid binding [GO:0003676]; protein binding [GO:0005515]; RNA helicase activity [GO:0003724]
evm.utg34.17	A1L0T3	swissprot	Ssc4d Srcrb4d		scavenger receptor activity [GO:0005044]
evm.utg34.19	A0A7D9M2Z4	trembl	PACLA_8A011236		calcium ion binding [GO:0005509]
evm.utg35.7	A0A6P8HXR8	trembl	LOC116297141		ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]
evm.utg35.8	Q6ING7	swissprot	flad1	FAD biosynthetic process [GO:0006747]	FAD diphosphatase activity [GO:0047884]; FMN adenylyltransferase activity [GO:0003919]; NADH pyrophosphatase activity [GO:0035529]
evm.utg35.9	Q13627	swissprot	DYRK1A DYRK MNB MNBH	chromatin remodeling [GO:0006338]; circadian rhythm [GO:0007623]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of heterochromatin formation [GO:0031452]; negative regulation of microtubule polymerization [GO:0031115]; nervous system development [GO:0007399]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of RNA splicing [GO:0033120]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of amyloid-beta formation [GO:1902003]; regulation of neurofibrillary tangle assembly [GO:1902996]; regulation of transcription by RNA polymerase II [GO:0006357]	actin binding [GO:0003779]; ATP binding [GO:0005524]; histone H3T45 kinase activity [GO:0140857]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein binding [GO:0005515]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; splicing factor binding [GO:1990935]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; transcription coactivator activity [GO:0003713]; tubulin binding [GO:0015631]
evm.utg35.9.1.5c22ef75	Q61214	swissprot	Dyrk1a Dyrk	calcineurin-NFAT signaling cascade [GO:0033173]; circadian rhythm [GO:0007623]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; negative regulation of cell cycle [GO:0045786]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of gene expression [GO:0010629]; negative regulation of microtubule polymerization [GO:0031115]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of RNA splicing [GO:0033120]; protein import into nucleus [GO:0006606]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of amyloid-beta formation [GO:1902003]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell growth involved in cardiac muscle cell development [GO:0061050]; regulation of neurofibrillary tangle assembly [GO:1902996]; regulation of transcription by RNA polymerase II [GO:0006357]	actin binding [GO:0003779]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein binding [GO:0005515]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; splicing factor binding [GO:1990935]; tau protein binding [GO:0048156]; transcription coactivator activity [GO:0003713]; tubulin binding [GO:0015631]
evm.utg35.10	Q9EQS5	swissprot	Sc5d C5d	cholesterol biosynthetic process [GO:0006695]; cholesterol biosynthetic process via desmosterol [GO:0033489]; cholesterol biosynthetic process via lathosterol [GO:0033490]; fatty acid metabolic process [GO:0006631]; lipid biosynthetic process [GO:0008610]; negative regulation of ferroptosis [GO:0110076]	C-5 sterol desaturase activity [GO:0000248]; delta7-sterol 5(6)-desaturase activity [GO:0050046]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; sterol desaturase activity [GO:0070704]
evm.utg35.11	A0A6P8I0E5	trembl	LOC116297169		mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]
evm.utg35.12.1.5c22ef75	P35550	swissprot	Fbl	box C/D sno(s)RNA 3'-end processing [GO:0000494]; chromatin remodeling [GO:0006338]; ribosomal small subunit biogenesis [GO:0042274]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]; snoRNA localization [GO:0048254]; sno(s)RNA metabolic process [GO:0016074]	ATPase binding [GO:0051117]; histone H2AQ104 methyltransferase activity [GO:1990259]; methyltransferase activity [GO:0008168]; rRNA methyltransferase activity [GO:0008649]; TFIID-class transcription factor complex binding [GO:0001094]; U6 snRNA 2'-O-ribose methyltransferase activity [GO:0180021]
evm.utg35.12	P35550	swissprot	Fbl	box C/D sno(s)RNA 3'-end processing [GO:0000494]; chromatin remodeling [GO:0006338]; ribosomal small subunit biogenesis [GO:0042274]; rRNA methylation [GO:0031167]; rRNA processing [GO:0006364]; snoRNA localization [GO:0048254]; sno(s)RNA metabolic process [GO:0016074]	ATPase binding [GO:0051117]; histone H2AQ104 methyltransferase activity [GO:1990259]; methyltransferase activity [GO:0008168]; rRNA methyltransferase activity [GO:0008649]; TFIID-class transcription factor complex binding [GO:0001094]; U6 snRNA 2'-O-ribose methyltransferase activity [GO:0180021]
evm.utg35.13	O75964	swissprot	ATP5MG ATP5L	proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]; proton transmembrane transport [GO:1902600]	protein binding [GO:0005515]; proton transmembrane transporter activity [GO:0015078]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
