Chr	Start	End	Strand	Length	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
evm.TU.utg116.353	utg116;utg116;utg116;utg116;utg116	2789330;2790452;2790820;2791481;2792328	2789413;2790535;2790952;2791709;2792412	-;-;-;-;-	615	198	257	395	212	391	77	114	234	215	123	152	391	79	139	154	256	237	244	128	354	154	242	259	192	373	215	139	289
evm.TU.utg116.354	utg116	2793257	2794758	+	1502	273	267	484	326	413	192	187	337	194	207	280	374	169	347	163	400	357	468	265	496	133	202	241	232	367	477	188	177
evm.TU.utg116.355	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2796221;2800534;2800981;2801386;2801711;2802139;2802860;2803277;2803644;2804042;2804242;2805225;2805579;2806626;2807027;2807216;2807840;2808386;2809517;2810086;2810248;2810788;2811397;2811647;2812063;2812586;2812728;2813653;2814389;2814899;2815556;2815779;2815878;2816809;2817288;2817890;2819097;2819943;2820697;2821003;2821644;2822264;2822568;2823056;2823386;2823668;2824019;2825851;2826892;2828128;2828883;2829579;2830266	2796286;2800587;2801021;2801421;2801756;2802213;2802937;2803339;2803712;2804142;2804318;2805289;2805695;2806677;2807088;2807319;2807939;2808457;2809565;2810178;2810296;2810839;2811423;2811746;2812160;2812658;2812834;2813712;2814498;2814989;2815596;2815798;2815917;2816878;2817398;2817999;2819163;2820011;2820741;2821068;2821691;2822305;2822598;2823162;2823457;2823727;2824146;2826022;2827062;2828325;2828945;2829692;2830427	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4194	1602	1656	3187	3479	2261	1686	1874	2474	2253	1702	3284	3265	1685	1622	1468	3324	2396	4457	2666	3858	2245	1413	890	1968	3104	2970	1259	1949
evm.TU.utg116.356	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2831502;2831617;2831790;2832918;2834129;2834884;2835921;2836179;2836659;2836990;2837752	2831528;2831674;2831858;2833141;2834392;2834973;2836062;2836234;2836752;2837149;2839122	+;+;+;+;+;+;+;+;+;+;+	2555	241	205	427	274	417	207	214	138	169	197	305	239	98	134	127	282	196	267	199	265	167	185	190	519	398	227	162	196
evm.TU.utg116.357	utg116;utg116	2839781;2843224	2843050;2845874	+;+	5921	208	171	284	188	222	295	116	184	141	157	152	272	117	159	162	242	162	367	224	483	100	135	71	465	285	301	119	160
evm.TU.utg116.358	utg116;utg116;utg116	2847094;2847619;2848951	2847147;2847693;2850219	+;+;+	1398	132	335	194	57	133	57	109	382	82	198	25	63	45	227	164	185	87	411	206	724	4	210	35	110	295	198	109	115
tRNAscan-SE.tRNA.utg116.Phe(GAA).1	utg116	2847387	2847461	+	75	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg116.359	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2851178;2851929;2853695;2854370;2854401;2854853;2854853;2855249;2855249;2855542;2855542	2851761;2851989;2853740;2854511;2854511;2854986;2854986;2855387;2855387;2855935;2855935	-;-;-;-;-;-;-;-;-;-;-	1500	263	86	190	199	209	80	102	141	83	128	137	149	86	58	159	216	96	280	202	458	92	104	40	145	288	226	185	198
evm.TU.utg116.360	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2856044;2856437;2856854;2857130;2857851;2859344;2860057;2860425	2856223;2856504;2856921;2857242;2857994;2859451;2860242;2860502	+;+;+;+;+;+;+;+	945	177	219	243	221	296	117	190	364	331	215	255	362	187	185	188	454	477	805	254	746	200	122	100	189	429	343	341	207
tRNAscan-SE.tRNA.utg116.Pseudo(AGA).6	utg116	2859626	2859697	+	72	3	13	5	6	11	5	2	11	17	0	0	5	8	4	11	11	5	17	7	26	0	2	3	2	16	11	9	7
tRNAscan-SE.tRNA.utg116.Pseudo(CGC).7	utg116	2859936	2860008	-	73	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg116.361	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2862359;2862995;2864443;2864443;2865040;2865503;2865503;2866045;2866045;2866045;2866257;2866257;2866257;2866633;2866633;2866633;2867263;2867263;2867263;2868194;2868194;2868194;2868691;2868691;2868691;2869567;2869567	2863335;2863335;2864555;2864555;2865712;2865712;2865712;2866143;2866143;2866143;2866326;2866326;2866326;2866783;2866783;2866783;2867330;2867330;2867330;2868338;2868338;2868338;2868953;2868953;2869093;2869758;2869758	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2891	1427	1451	2493	1559	2219	578	1203	1260	1014	1133	1496	2026	684	1331	1260	1612	1294	1630	1502	2250	1325	1371	1657	1395	2313	1729	778	1330
evm.TU.utg116.362	utg116;utg116;utg116;utg116;utg116;utg116	2872324;2874170;2876088;2876650;2876784;2876993	2873015;2874788;2876227;2876696;2876901;2877191	-;-;-;-;-;-	1815	536	623	1032	692	912	300	487	542	482	565	631	1015	297	500	549	819	590	1302	956	1221	347	542	449	714	1154	876	356	528
evm.TU.utg116.363	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2877535;2877954;2883632;2884158;2884681;2884893;2885155;2885572;2886415;2886880;2887232;2888590;2889248;2889390;2889713;2890196;2890713;2891046;2891926;2892705;2893280	2877630;2878121;2883740;2884252;2884818;2885054;2885232;2885658;2886477;2887008;2887343;2888660;2889305;2889452;2889811;2890294;2890793;2891098;2892012;2892863;2893318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2046	187	375	338	401	553	158	223	268	242	200	247	323	197	296	214	417	378	920	332	479	155	147	218	209	468	704	249	285
evm.TU.utg116.364	utg116;utg116;utg116;utg116;utg116;utg116;utg116	2895103;2895251;2895447;2895626;2895856;2896629;2897619	2895116;2895323;2895494;2895673;2895951;2896760;2897816	+;+;+;+;+;+;+	609	6611	7350	12866	11236	10280	4885	6729	6287	6420	7649	6801	14008	4275	7430	7585	11707	7005	10367	12342	11878	5676	6307	10128	7624	11892	11371	4600	7040
evm.TU.utg116.365	utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116;utg116	2901815;2902398;2903273;2904440;2905130;2906143;2906652;2906828;2907048	2902038;2902501;2903349;2904582;2905241;2906255;2906720;2906909;2907221	-;-;-;-;-;-;-;-;-	1098	292	286	474	441	391	142	224	292	201	323	273	393	183	242	282	411	273	621	480	623	232	264	230	308	493	389	198	307
evm.TU.utg116.366	utg116;utg116;utg116;utg116;utg116;utg116;utg116	2908463;2910726;2912516;2912933;2913487;2914573;2914949	2908465;2911440;2912641;2913031;2913528;2914712;2915191	+;+;+;+;+;+;+	1368	19	13	27	14	22	59	16	24	12	17	121	11	6	11	14	5	23	13	7	98	88	12	34	28	24	26	19	31
evm.TU.utg116.367	utg116;utg116;utg116;utg116;utg116;utg116;utg116	2917215;2918014;2919183;2920004;2920236;2921033;2923616	2917693;2918325;2919361;2920102;2920361;2921744;2923995	-;-;-;-;-;-;-	2287	80	299	170	79	198	57	166	306	256	221	184	22	108	221	131	253	272	371	248	482	197	117	55	49	200	162	134	123
evm.TU.utg116.368	utg116;utg116;utg116;utg116	2926686;2929594;2930388;2932382	2926767;2929853;2930499;2932836	+;+;+;+	909	6	0	2	9	5	11	4	0	0	3	3	3	0	2	2	5	0	15	1	0	0	2	1	0	7	2	3	3
evm.TU.utg116.369	utg116;utg116;utg116;utg116	2938576;2940424;2941220;2943208	2938621;2940683;2941331;2943662	+;+;+;+	873	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	1	0	4	0	0	0	0	0	0
evm.TU.utg116.370	utg116;utg116	2947821;2948517	2947878;2948803	+;+	345	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
evm.TU.utg116.372	utg116	2958916	2959386	+	471	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	15	0	0	2	2	0	0	0	0	0	0
evm.TU.utg116.373	utg116	2961865	2962629	-	765	24	45	62	29	65	57	19	44	44	43	81	60	24	56	35	61	43	130	56	102	42	18	12	59	65	76	24	30
evm.TU.utg116.374	utg116	2963008	2963607	-	600	5	8	10	11	8	6	5	11	9	6	17	19	5	9	5	9	21	30	8	16	10	4	3	17	24	8	2	2
evm.TU.utg116.375	utg116;utg116;utg116;utg116	2963856;2963979;2964102;2965206	2963893;2964021;2964184;2965329	+;+;+;+	288	3	2	0	3	0	0	0	1	1	0	2	1	0	0	1	0	0	6	4	3	0	7	2	0	4	0	0	1
evm.TU.utg117.1	utg117	8374	8616	+	243	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	4	0	2	0	0	4	0	0	0	2	0	0	1
evm.TU.utg117.2	utg117;utg117;utg117;utg117	10866;11132;12132;12699	11058;11286;12439;12837	+;+;+;+	795	75	44	75	46	59	3	51	107	79	78	52	8	50	56	67	6	67	147	71	128	34	19	19	2	98	95	62	51
evm.TU.utg117.3	utg117;utg117;utg117;utg117;utg117	13585;14192;15270;15822;16300	13896;14664;15659;16155;16374	-;-;-;-;-	1584	122	197	216	370	229	0	224	211	119	85	50	319	191	115	54	229	240	464	302	336	12	301	190	6	292	381	463	282
evm.TU.utg117.4	utg117	16864	17304	-	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.5	utg117	18286	18906	-	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.6	utg117;utg117	25003;26179	25245;26529	-;-	594	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
evm.TU.utg117.7	utg117	28372	28770	-	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.8	utg117;utg117;utg117	30155;31350;32185	30333;31494;32529	-;-;-	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.9	utg117	33017	33226	+	210	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.10	utg117;utg117;utg117;utg117;utg117	33300;35773;36007;37828;38263	33612;35815;36125;37901;38607	-;-;-;-;-	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.11	utg117	40100	40474	-	375	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	2	8	0	0	0	1	0	0	0	0	0	1
evm.TU.utg117.12	utg117;utg117;utg117	40784;40978;42385	40883;41324;42399	+;+;+	462	6	0	4	1	0	0	0	2	0	4	4	2	0	2	0	2	0	0	2	0	1	0	0	1	0	3	0	2
evm.TU.utg117.13	utg117;utg117	42426;45208	42744;45488	+;+	600	4	9	18	10	37	6	14	7	6	12	53	70	4	11	14	58	13	31	18	19	11	6	8	9	14	12	6	10
utg117.equina_smart_946898.path4	utg117;utg117	45264;45909	45468;47020	+;+	1317	25	25	47	52	26	59	16	60	57	36	237	108	26	46	30	178	40	101	41	48	157	22	32	72	71	43	24	44
evm.TU.utg117.14	utg117;utg117	47674;49513	49140;49821	-;-	1776	179	202	171	221	241	37	103	170	134	143	114	366	66	158	116	437	156	199	189	319	53	138	155	77	284	292	121	205
evm.TU.utg117.15	utg117	52046	52445	+	400	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
evm.TU.utg117.16	utg117;utg117	54611;55036	54931;56394	+;+	1680	11	10	24	21	34	1	2	20	19	6	11	6	6	3	10	2	13	40	14	49	8	13	22	0	18	11	14	10
evm.TU.utg117.20	utg117	68835	70055	-	1221	38	58	61	48	60	5	37	72	53	18	0	154	37	23	16	169	39	76	21	124	0	28	16	43	78	56	26	68
evm.TU.utg117.21	utg117;utg117;utg117	77464;79328;79703	77765;79417;79949	-;-;-	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.22	utg117;utg117	86543;87745	86868;87832	-;-	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.23	utg117;utg117;utg117;utg117;utg117;utg117;utg117	104310;105463;107618;108477;108749;108915;109879	104740;105671;107879;108572;108839;109010;109902	-;-;-;-;-;-;-	1209	10	5	5	3	13	4	4	3	0	0	0	29	1	1	2	37	1	6	8	7	0	2	2	12	16	5	3	10
evm.TU.utg117.24	utg117	112833	113384	-	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg117.25	utg117	115384	116400	-	1017	1	0	4	3	8	7	1	5	2	2	0	0	4	2	1	2	0	2	1	8	0	2	2	0	2	3	6	12
evm.TU.utg117.26	utg117;utg117;utg117;utg117	116782;117057;117323;118552	116941;117142;117853;118614	+;+;+;+	840	7	14	20	8	25	2	20	12	8	10	4	17	15	10	18	39	20	47	24	30	8	5	16	0	21	22	14	5
evm.TU.utg117.27	utg117;utg117	121198;122290	121631;122581	-;-	726	0	0	3	2	1	6	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	1	0	2	1	2	0
evm.TU.utg117.28	utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117	149657;149659;149660;152440;152440;152440;152904;152904;152904;153051;153051;153658;153658;154691;154691;156619;156619;156619;156825;156825;156825;157444;157444;157444;157868;157868;157868;158384;158384;158384	150143;150143;150143;152555;152555;152555;152969;152969;152969;153140;153140;153744;153744;154795;154795;156738;156738;156738;156911;156911;156911;157530;157530;157530;158056;158056;158056;158647;159383;158647	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2434	2934	1001	3140	7702	1897	444	1514	2210	705	992	1151	2055	1587	1200	1657	2075	1073	1495	2361	2640	452	2676	2601	828	3989	4580	1637	3651
evm.TU.utg117.29	utg117;utg117;utg117;utg117;utg117;utg117;utg117	160669;161144;161930;162261;163176;163665;165151	160743;161308;162084;162447;163298;163772;165261	-;-;-;-;-;-;-	924	69	87	106	122	88	43	66	79	38	52	37	89	35	63	61	51	58	119	116	164	37	60	99	66	150	65	40	89
evm.TU.utg117.30	utg117;utg117;utg117;utg117;utg117;utg117;utg117;utg117	166195;166744;167094;167877;168781;169736;171393;173301	166307;166827;167157;168110;168972;169795;171563;173360	-;-;-;-;-;-;-;-	978	37	40	45	58	59	25	24	33	33	49	12	21	31	33	53	20	27	72	53	71	13	38	78	31	67	50	21	51
evm.TU.utg125.1	utg125	4684	4962	-	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.2	utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125	5085;5568;7571;8508;9115;9482;10908;12388;13420;15038;17084;17832;18740;20227;21999;23002;23882;25302;26113;26734;27191;32323;33884;34698;34969;35712;36080;37454;38308;40340;41621;42832;43081;50872;51418;54010;54939;55855;56376;56807;56989;57952;58763;59590;60763;64543;65416;66144;66472;67107;69101;69524;70308;71319;71493;72019;72512;73386;73835;77861	5494;5735;7673;8606;9192;9594;11136;12638;13759;15180;17296;18075;18889;20334;22186;23142;24059;25437;26282;26804;27266;32430;33979;34761;35219;35801;36160;37519;38456;40438;41867;42885;43188;50994;51524;54103;55082;55935;56522;56880;57067;58038;58912;59679;60852;64719;65516;66229;66662;67160;69177;69681;70408;71388;71528;72115;72624;73467;73971;78262	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8170	48	69	118	134	69	58	61	109	58	42	89	59	34	50	42	108	69	205	58	118	84	36	54	64	110	122	56	76
tRNAscan-SE.tRNA.utg125.Pseudo(GTT).1	utg125	16459	16530	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.3	utg125;utg125	40203;80225	40228;81998	-;-	1800	161	216	389	169	152	57	103	129	89	174	242	159	73	99	132	155	69	204	223	263	123	99	107	135	291	235	100	122
tRNAscan-SE.tRNA.utg125.Ser(AGA).1	utg125	52375	52446	+	72	0	0	0	2	0	0	0	1	0	0	0	2	1	0	0	0	4	1	0	2	0	0	1	1	2	2	2	1
tRNAscan-SE.tRNA.utg125.Ser(AGA).2	utg125	74251	74322	+	72	5	9	25	30	15	10	6	10	3	1	12	7	11	19	11	11	23	22	11	15	9	10	3	1	15	24	14	5
tRNAscan-SE.tRNA.utg125.Ser(AGA).3	utg125	74513	74584	+	72	8	5	23	37	24	18	3	23	3	5	18	7	7	13	8	21	25	19	9	15	13	11	4	16	22	43	15	8
tRNAscan-SE.tRNA.utg125.Ser(AGA).4	utg125	74775	74846	+	72	0	2	5	5	12	5	0	5	0	1	4	7	2	4	1	10	1	10	5	4	8	5	2	7	18	6	5	2
evm.TU.utg125.4	utg125;utg125;utg125	87657;88424;90504	87774;88605;90830	+;+;+	627	4	0	2	6	2	0	2	0	1	2	0	0	0	2	0	2	1	6	0	2	0	0	2	0	0	2	2	2
evm.TU.utg125.5	utg125;utg125	97535;99977	99222;100662	-;-	2374	679	571	865	574	1329	157	396	1491	982	744	1743	558	528	1510	2165	915	923	1004	1205	1838	1522	1132	1930	290	704	685	501	881
evm.TU.utg125.6	utg125	104140	105655	-	1516	45	35	90	53	37	12	34	58	19	28	66	36	28	58	32	32	36	77	65	91	26	33	10	20	68	73	18	25
evm.TU.utg125.7	utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125	107206;107748;109867;110805;112292;113699;115003;115677;117291;122165;122965;124095;124768;125222;126431;126992;128233;130532;131454;132734;133842;136299;136651;138323;139731	107484;107838;109956;110865;112348;113764;115115;115739;117437;122291;123054;124272;124909;125371;126543;127047;128477;130606;131534;132781;133940;136383;136826;138415;140054	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3049	52	85	95	146	89	35	78	122	91	71	182	79	87	61	78	64	127	269	94	199	132	50	105	56	148	131	59	78
evm.TU.utg125.8	utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125	140888;140992;142093;144060;144507;146236;146610;147714	140890;141193;142459;144247;144658;146336;146758;148132	+;+;+;+;+;+;+;+	1581	214	256	605	288	584	74	212	449	265	264	739	488	184	233	351	287	447	1295	412	1160	312	250	209	216	732	467	230	320
evm.TU.utg125.9	utg125;utg125;utg125	153444;154349;157167	153689;154471;157310	-;-;-	513	109	119	243	108	209	26	80	169	121	112	143	145	57	72	106	139	168	325	111	290	81	84	114	83	185	181	48	115
tRNAscan-SE.tRNA.utg125.Phe(AAA).1	utg125	154158	154232	+	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNAscan-SE.tRNA.utg125.Ser(AGA).5	utg125	160314	160385	+	72	10	5	10	15	14	4	5	8	10	11	15	16	4	0	15	15	12	15	13	19	13	6	11	5	11	4	3	3
evm.TU.utg125.10	utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125	160992;163310;164549;166535;176003;176355;178793;179893;180735;181411;181783;182950;184038;185948;187442;189320;189870;190684;191735;192122	161117;163399;164660;166665;176119;176484;179006;180001;180800;181566;181895;183035;184332;186054;187572;189453;189967;190819;191905;192365	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2766	425	277	614	756	659	168	449	651	627	537	910	639	432	312	770	772	671	1334	1053	1181	503	494	375	224	682	743	302	428
evm.TU.utg125.11	utg125;utg125;utg125	196590;198596;199309	196798;199193;199377	+;+;+	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
evm.TU.utg125.12	utg125	203580	203846	-	267	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.13	utg125;utg125	206551;207533	207277;207723	-;-	918	0	2	0	2	0	0	2	0	0	0	0	2	0	0	0	0	4	0	4	4	0	1	0	2	3	0	3	0
evm.TU.utg125.14	utg125	212448	212786	+	339	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	2	4	6	0	0	0	0	1	0	0	1	0	0
evm.TU.utg125.16	utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125;utg125	226245;226409;226608;227331;227747;228163;229072;230531;231152;232181	226334;226499;226644;227397;227858;228256;229197;230615;231266;232775	+;+;+;+;+;+;+;+;+;+	1412	350	240	544	363	513	109	281	245	159	230	230	417	105	117	204	284	185	537	313	426	133	276	137	178	452	329	186	302
evm.TU.utg125.18	utg125;utg125;utg125;utg125;utg125;utg125	234961;236229;237485;240405;244407;244610	235150;236288;237551;240479;244489;244724	-;-;-;-;-;-	590	103	188	247	207	181	104	108	108	112	185	204	197	77	86	83	169	98	366	230	262	100	117	57	132	222	180	81	149
evm.TU.utg125.17	utg125;utg125;utg125	237101;237673;238524	237218;238442;239063	+;+;+	1428	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	8	0	0	0	0
tRNAscan-SE.tRNA.utg125.Ala(GGC).1	utg125	245002	245074	-	73	0	2	1	5	3	2	0	0	2	1	0	5	8	0	0	2	1	1	0	5	0	1	4	0	0	1	4	0
evm.TU.utg125.19	utg125;utg125	245344;245767	245630;245800	+;+	321	61	16	31	57	28	29	48	23	19	29	38	0	20	25	36	0	24	50	115	28	8	25	17	23	82	50	27	18
evm.TU.utg125.20	utg125	247846	249155	+	1310	5	8	6	7	17	6	2	39	11	6	9	4	6	12	6	2	27	38	18	29	2	5	6	10	17	8	12	12
evm.TU.utg125.21	utg125	249616	250348	-	733	67	169	221	148	200	2	81	40	51	152	4	155	76	58	77	211	40	182	103	311	0	75	25	4	116	217	63	151
evm.TU.utg125.22	utg125	255721	256647	-	927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.23	utg125	261583	263844	-	2262	30	22	38	36	16	8	12	12	2	11	6	2	4	10	4	6	12	26	16	21	9	8	20	24	40	26	6	6
evm.TU.utg125.24	utg125	264479	265075	-	597	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.25	utg125	266245	266601	+	357	4	0	3	5	0	0	4	0	1	0	6	0	0	0	4	2	2	6	6	2	2	1	0	0	4	0	4	0
evm.TU.utg125.26	utg125	270180	270962	-	783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.27	utg125;utg125	271962;275148	272203;275364	-;-	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
evm.TU.utg125.28	utg125	277784	278011	-	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.29	utg125	279556	279910	+	355	4	0	2	0	0	0	1	2	0	0	0	0	4	0	0	0	0	2	0	0	2	0	0	0	2	0	2	0
evm.TU.utg125.30	utg125;utg125;utg125;utg125;utg125	279930;281042;282319;282408;282745	280784;281819;282337;282656;282802	+;+;+;+;+	1959	15	9	13	13	7	3	15	27	15	12	17	0	13	7	13	0	34	29	22	16	6	10	9	10	17	12	10	10
evm.TU.utg125.31	utg125;utg125;utg125;utg125;utg125;utg125;utg125	283131;283384;283686;284541;284818;285315;286066	283246;283572;283834;284574;285031;285841;286213	-;-;-;-;-;-;-	1377	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0	1	0	2	0	0	0	0	0	2	0	0
evm.TU.utg125.32	utg125;utg125;utg125;utg125	296351;299334;300169;301371	296533;299549;300278;301476	-;-;-;-	615	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.33	utg125;utg125	303883;305608	304129;306557	+;+	1197	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0
evm.TU.utg125.34	utg125	308265	308753	-	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
evm.TU.utg125.35	utg125	309279	309989	+	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNAscan-SE.tRNA.utg125.Cys(ACA).1	utg125	312682	312756	-	75	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
evm.TU.utg125.36	utg125;utg125;utg125	315069;316240;318053	315763;316460;318264	+;+;+	1128	0	6	10	4	4	0	0	0	3	6	4	27	0	2	6	24	0	16	8	5	0	7	5	2	6	9	2	4
tRNAscan-SE.tRNA.utg125.Ala(GGC).2	utg125	316638	316709	-	72	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	1	2	0	2	0	0	0	2	0	0	0	0
tRNAscan-SE.tRNA.utg125.Ala(GGC).3	utg125	316937	317009	+	73	15	19	19	10	35	3	6	17	18	19	16	17	9	7	11	13	14	20	36	25	6	17	17	4	20	30	5	13
tRNAscan-SE.tRNA.utg125.Ala(GGC).4	utg125	317181	317253	+	73	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
tRNAscan-SE.tRNA.utg125.Ala(GGC).5	utg125	317425	317497	+	73	0	0	0	0	0	2	0	5	0	1	0	0	0	4	0	3	2	0	1	1	1	0	0	2	3	3	1	0
